Subject Name:C:\Users\pnkid\Desktop\mousedata\Firstrun.txt
File Created: 11/30/2019 2:02:46 PM 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
0.139	Moved	2701	435
0.14	Moved	2700	435
0.142	Moved	2699	435
0.144	Moved	2698	435
0.145	Moved	2697	435
0.146	Moved	2696	435
0.148	Moved	2695	435
0.149	Moved	2694	435
0.15	Moved	2693	435
0.151	Moved	2692	435
0.152	Moved	2691	435
0.153	Moved	2690	434
0.154	Moved	2689	434
0.155	Moved	2688	434
0.156	Moved	2687	434
0.157	Moved	2686	434
0.158	Moved	2684	434
0.159	Moved	2682	434
0.16	Moved	2681	434
0.161	Moved	2679	434
0.162	Moved	2677	434
0.163	Moved	2675	434
0.164	Moved	2673	434
0.165	Moved	2671	433
0.166	Moved	2668	433
0.167	Moved	2666	433
0.168	Moved	2664	433
0.169	Moved	2662	433
0.17	Moved	2659	433
0.171	Moved	2656	433
0.172	Moved	2653	433
0.173	Moved	2650	433
0.174	Moved	2648	433
0.175	Moved	2645	433
0.176	Moved	2642	433
0.177	Moved	2639	433
0.178	Moved	2636	433
0.179	Moved	2633	433
0.18	Moved	2630	433
0.181	Moved	2627	433
0.182	Moved	2623	434
0.183	Moved	2620	434
0.184	Moved	2617	434
0.185	Moved	2613	435
0.186	Moved	2610	435
0.187	Moved	2605	436
0.188	Moved	2601	436
0.189	Moved	2597	437
0.19	Moved	2593	438
0.191	Moved	2588	439
0.193	Moved	2585	439
0.205	Moved	2580	440
0.205	Moved	2575	441
0.206	Moved	2513	455
0.207	Moved	2507	457
0.207	Moved	2500	459
0.209	Moved	2493	460
0.209	Moved	2488	461
0.211	Moved	2481	463
0.212	Moved	2474	465
0.212	Moved	2467	466
0.213	Moved	2459	468
0.214	Moved	2452	469
0.215	Moved	2444	471
0.216	Moved	2436	472
0.217	Moved	2430	473
0.218	Moved	2423	475
0.219	Moved	2415	476
0.22	Moved	2407	478
0.221	Moved	2399	479
0.222	Moved	2390	481
0.223	Moved	2382	482
0.224	Moved	2374	484
0.225	Moved	2367	484
0.226	Moved	2359	486
0.227	Moved	2350	487
0.228	Moved	2341	488
0.229	Moved	2333	489
0.23	Moved	2324	490
0.231	Moved	2315	491
0.232	Moved	2307	491
0.233	Moved	2300	492
