Subject Name:C:\Users\pnkid\Desktop\mousedata\anothermanualrun.txt
File Created: 11/30/2019 8:35:29 PM 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
0.202	Moved	2796	489
0.205	Moved	2795	489
0.207	Moved	2794	489
0.208	Moved	2793	489
0.209	Moved	2792	490
0.211	Moved	2791	490
0.212	Moved	2790	490
0.213	Moved	2789	490
0.214	Moved	2788	491
0.215	Moved	2787	491
0.216	Moved	2786	491
0.217	Moved	2785	491
0.218	Moved	2784	492
0.219	Moved	2783	492
0.22	Moved	2782	492
0.221	Moved	2781	492
0.222	Moved	2780	492
0.223	Moved	2778	493
0.224	Moved	2777	493
0.225	Moved	2775	493
0.226	Moved	2773	493
0.227	Moved	2772	494
0.228	Moved	2770	494
0.229	Moved	2768	494
0.23	Moved	2766	494
0.231	Moved	2764	494
0.232	Moved	2762	494
0.233	Moved	2760	495
0.234	Moved	2758	495
0.235	Moved	2756	495
0.236	Moved	2753	495
0.237	Moved	2751	495
0.238	Moved	2749	495
0.239	Moved	2747	495
0.24	Moved	2744	495
0.241	Moved	2741	495
0.242	Moved	2738	495
0.243	Moved	2736	495
0.244	Moved	2733	496
0.245	Moved	2730	496
0.246	Moved	2727	496
0.247	Moved	2724	496
0.248	Moved	2721	496
0.249	Moved	2718	496
0.25	Moved	2714	496
0.251	Moved	2711	496
0.252	Moved	2707	496
0.253	Moved	2703	496
0.254	Moved	2700	496
0.255	Moved	2696	496
0.256	Moved	2692	496
0.257	Moved	2689	496
0.258	Moved	2684	496
0.259	Moved	2680	496
0.26	Moved	2676	496
0.261	Moved	2671	496
0.262	Moved	2667	496
0.263	Moved	2662	496
0.264	Moved	2657	495
0.265	Moved	2652	495
0.266	Moved	2648	495
0.267	Moved	2643	495
0.268	Moved	2638	495
0.269	Moved	2633	494
0.27	Moved	2627	494
0.271	Moved	2622	494
0.272	Moved	2616	494
0.273	Moved	2610	494
0.274	Moved	2604	493
0.275	Moved	2599	493
0.276	Moved	2594	493
0.277	Moved	2588	492
0.278	Moved	2582	492
0.279	Moved	2575	492
0.28	Moved	2569	491
