ElapsedTime 	Action 	 X	Y
0.409	Moved	2828	435
0.413	Moved	2827	435
0.415	Moved	2826	435
0.417	Moved	2825	435
0.418	Moved	2824	435
0.419	Moved	2824	434
0.421	Moved	2823	434
0.423	Moved	2822	434
0.424	Moved	2821	434
0.425	Moved	2821	433
0.426	Moved	2820	433
0.427	Moved	2819	433
0.428	Moved	2818	433
0.429	Moved	2817	433
0.43	Moved	2817	432
0.431	Moved	2816	432
0.432	Moved	2815	432
0.433	Moved	2814	432
0.434	Moved	2813	432
0.435	Moved	2813	431
0.436	Moved	2812	431
0.437	Moved	2810	431
0.438	Moved	2809	431
0.439	Moved	2808	431
0.44	Moved	2807	430
0.441	Moved	2806	430
0.442	Moved	2805	430
0.443	Moved	2804	430
0.444	Moved	2802	430
0.445	Moved	2801	429
0.446	Moved	2800	429
0.447	Moved	2798	429
0.448	Moved	2797	429
0.449	Moved	2795	429
0.45	Moved	2794	428
0.451	Moved	2793	428
0.452	Moved	2791	428
0.453	Moved	2790	428
0.454	Moved	2788	428
0.455	Moved	2786	428
0.456	Moved	2785	427
0.457	Moved	2783	427
0.458	Moved	2781	427
0.459	Moved	2780	427
0.46	Moved	2778	427
0.461	Moved	2776	426
0.462	Moved	2774	426
0.463	Moved	2773	426
0.464	Moved	2771	426
0.465	Moved	2769	426
0.466	Moved	2767	426
0.467	Moved	2764	425
0.468	Moved	2762	425
0.469	Moved	2761	425
0.47	Moved	2758	425
0.471	Moved	2756	425
0.472	Moved	2754	425
0.473	Moved	2752	425
0.474	Moved	2749	425
0.475	Moved	2747	424
0.476	Moved	2744	424
0.477	Moved	2742	424
0.478	Moved	2740	424
0.479	Moved	2737	424
0.48	Moved	2735	424
0.481	Moved	2732	424
0.482	Moved	2729	424
0.483	Moved	2726	424
0.484	Moved	2724	424
0.485	Moved	2721	424
0.486	Moved	2718	424
0.487	Moved	2716	424
0.488	Moved	2713	423
0.489	Moved	2710	423
0.49	Moved	2706	423
0.491	Moved	2703	423
0.492	Moved	2700	423
0.493	Moved	2697	423
0.494	Moved	2693	423
0.495	Moved	2690	423
0.496	Moved	2687	423
0.497	Moved	2684	423
0.498	Moved	2680	423
0.499	Moved	2676	423
0.5	Moved	2673	423
0.501	Moved	2669	423
0.502	Moved	2665	423
0.503	Moved	2661	423
0.504	Moved	2657	423
0.505	Moved	2654	423
0.506	Moved	2650	423
0.507	Moved	2646	423
0.508	Moved	2642	423
0.509	Moved	2638	423
0.51	Moved	2633	423
0.511	Moved	2629	423
0.512	Moved	2625	423
0.513	Moved	2620	423
0.514	Moved	2617	423
0.515	Moved	2612	423
0.516	Moved	2608	423
0.517	Moved	2603	423
0.518	Moved	2598	423
0.519	Moved	2594	423
0.52	Moved	2589	423
0.521	Moved	2584	423
0.522	Moved	2579	423
0.523	Moved	2575	423
0.524	Moved	2570	423
0.525	Moved	2564	423
0.526	Moved	2559	423
0.527	Moved	2554	423
0.528	Moved	2548	423
0.529	Moved	2543	423
0.53	Moved	2537	423
0.531	Moved	2532	423
0.532	Moved	2527	423
0.533	Moved	2521	423
0.534	Moved	2515	423
0.535	Moved	2509	423
0.536	Moved	2503	423
0.537	Moved	2497	423
0.538	Moved	2491	423
0.539	Moved	2485	423
0.54	Moved	2479	423
0.541	Moved	2474	423
0.542	Moved	2467	423
0.543	Moved	2461	423
0.544	Moved	2454	423
0.545	Moved	2448	423
0.546	Moved	2441	423
0.547	Moved	2434	423
0.548	Moved	2427	423
0.549	Moved	2422	423
0.55	Moved	2415	423
0.551	Moved	2408	423
0.552	Moved	2401	423
0.553	Moved	2393	423
0.554	Moved	2386	423
0.555	Moved	2379	424
0.556	Moved	2371	424
0.557	Moved	2364	424
0.558	Moved	2358	424
0.559	Moved	2350	424
0.56	Moved	2343	424
0.561	Moved	2335	424
0.562	Moved	2327	424
0.563	Moved	2319	425
0.564	Moved	2311	425
0.565	Moved	2304	425
0.566	Moved	2296	425
0.567	Moved	2290	425
0.568	Moved	2281	425
0.569	Moved	2273	426
0.57	Moved	2265	426
0.571	Moved	2257	426
0.572	Moved	2249	426
0.573	Moved	2241	426
0.574	Moved	2233	426
0.575	Moved	2224	427
0.576	Moved	2218	427
0.577	Moved	2210	427
0.578	Moved	2202	427
0.579	Moved	2194	428
0.58	Moved	2185	428
0.582	Moved	2177	428
0.583	Moved	2169	428
0.584	Moved	2160	428
0.585	Moved	2151	428
0.586	Moved	2145	428
0.587	Moved	2137	429
0.588	Moved	2128	429
0.589	Moved	2120	429
