Elapsed Time 	Action 	 X	Y
0.426	Moved	2774	442
0.43	Moved	2773	442
0.432	Moved	2772	442
0.435	Moved	2771	442
0.436	Moved	2770	442
0.437	Moved	2769	442
0.438	Moved	2769	441
0.44	Moved	2768	441
0.441	Moved	2767	441
0.442	Moved	2766	441
0.443	Moved	2765	441
0.445	Moved	2764	441
0.446	Moved	2763	441
0.447	Moved	2762	441
0.448	Moved	2761	441
0.449	Moved	2760	441
0.45	Moved	2759	441
0.451	Moved	2758	441
0.452	Moved	2757	440
0.453	Moved	2756	440
0.454	Moved	2755	440
0.455	Moved	2753	440
0.456	Moved	2752	440
0.457	Moved	2750	440
0.458	Moved	2749	440
0.459	Moved	2747	440
0.46	Moved	2746	440
0.461	Moved	2744	440
0.462	Moved	2742	440
0.463	Moved	2740	440
0.464	Moved	2738	440
0.465	Moved	2736	440
0.466	Moved	2734	440
0.467	Moved	2733	440
0.468	Moved	2730	440
0.469	Moved	2728	440
0.47	Moved	2726	440
0.471	Moved	2723	440
0.472	Moved	2721	440
0.473	Moved	2718	440
0.474	Moved	2716	440
0.475	Moved	2713	440
0.476	Moved	2711	440
0.477	Moved	2708	440
0.478	Moved	2705	440
0.479	Moved	2702	440
0.48	Moved	2699	440
0.481	Moved	2696	440
0.482	Moved	2693	440
0.483	Moved	2690	440
0.484	Moved	2688	440
0.485	Moved	2684	440
0.486	Moved	2681	440
0.487	Moved	2677	441
0.488	Moved	2674	441
0.489	Moved	2670	441
0.49	Moved	2666	441
0.491	Moved	2663	441
0.492	Moved	2660	441
0.493	Moved	2656	441
0.494	Moved	2652	442
0.495	Moved	2648	442
0.496	Moved	2644	442
0.497	Moved	2639	442
0.498	Moved	2635	442
0.499	Moved	2631	442
0.5	Moved	2626	442
0.501	Moved	2623	442
0.502	Moved	2618	442
0.503	Moved	2614	442
0.504	Moved	2609	442
0.505	Moved	2604	442
0.506	Moved	2599	443
0.507	Moved	2594	443
0.508	Moved	2589	443
0.509	Moved	2585	443
0.51	Moved	2580	443
0.511	Moved	2575	443
0.512	Moved	2569	443
0.513	Moved	2564	443
0.514	Moved	2558	443
0.515	Moved	2553	443
0.516	Moved	2547	443
0.517	Moved	2542	443
0.518	Moved	2536	443
0.519	Moved	2530	443
0.52	Moved	2524	443
0.521	Moved	2518	443
0.522	Moved	2512	444
0.523	Moved	2506	444
0.524	Moved	2500	444
0.525	Moved	2493	444
0.526	Moved	2488	444
0.527	Moved	2482	444
0.528	Moved	2475	444
0.529	Moved	2469	444
0.53	Moved	2462	444
0.531	Moved	2455	444
0.532	Moved	2449	444
0.533	Moved	2442	444
0.534	Moved	2437	444
0.535	Moved	2430	444
0.536	Moved	2423	444
0.537	Moved	2416	444
0.538	Moved	2410	444
0.539	Moved	2403	445
0.54	Moved	2396	445
0.541	Moved	2389	445
0.542	Moved	2384	445
0.543	Moved	2377	445
0.544	Moved	2370	445
0.545	Moved	2362	445
0.546	Moved	2355	445
0.547	Moved	2348	445
0.548	Moved	2341	446
0.549	Moved	2334	446
0.55	Moved	2327	446
0.551	Moved	2322	446
0.552	Moved	2315	446
0.553	Moved	2308	446
0.554	Moved	2301	446
0.555	Moved	2293	447
0.556	Moved	2286	447
0.557	Moved	2279	447
0.558	Moved	2272	447
0.559	Moved	2267	447
0.56	Moved	2260	447
0.561	Moved	2253	447
0.562	Moved	2246	448
0.563	Moved	2239	448
0.564	Moved	2233	448
0.565	Moved	2226	448
0.566	Moved	2219	449
0.567	Moved	2214	449
0.568	Moved	2207	449
0.569	Moved	2200	450
0.57	Moved	2193	450
0.571	Moved	2187	450
0.572	Moved	2180	450
0.573	Moved	2173	451
0.574	Moved	2167	451
0.575	Moved	2162	451
0.576	Moved	2155	452
0.577	Moved	2148	452
0.578	Moved	2142	452
0.579	Moved	2135	453
0.58	Moved	2129	453
0.581	Moved	2122	453
0.582	Moved	2116	454
0.583	Moved	2109	454
0.584	Moved	2104	455
0.585	Moved	2098	455
0.586	Moved	2092	455
0.587	Moved	2085	456
0.588	Moved	2079	456
0.589	Moved	2073	457
0.59	Moved	2067	457
0.591	Moved	2061	458
0.592	Moved	2056	458
0.593	Moved	2050	459
0.594	Moved	2044	459
0.595	Moved	2038	460
0.596	Moved	2032	460
0.597	Moved	2026	461
0.598	Moved	2020	461
0.599	Moved	2014	462
0.6	Moved	2009	462
0.601	Moved	2003	463
0.602	Moved	1998	463
0.603	Moved	1992	464
0.604	Moved	1986	464
0.605	Moved	1980	465
0.606	Moved	1974	465
0.607	Moved	1968	466
0.608	Moved	1963	466
0.609	Moved	1959	467
0.61	Moved	1953	467
0.611	Moved	1947	468
0.612	Moved	1941	468
0.613	Moved	1936	469
0.614	Moved	1930	470
0.615	Moved	1925	470
0.616	Moved	1919	471
0.617	Moved	1915	471
0.618	Moved	1910	472
0.619	Moved	1904	472
0.62	Moved	1899	473
0.621	Moved	1894	474
0.622	Moved	1888	474
0.623	Moved	1883	475
0.624	Moved	1878	476
0.625	Moved	1874	476
0.626	Moved	1869	477
0.627	Moved	1864	477
0.628	Moved	1858	478
0.629	Moved	1853	478
0.63	Moved	1848	479
0.631	Moved	1843	480
0.632	Moved	1838	480
0.633	Moved	1835	481
0.634	Moved	1829	481
0.635	Moved	1825	482
0.636	Moved	1820	482
0.637	Moved	1815	483
0.638	Moved	1810	483
0.639	Moved	1805	484
0.64	Moved	1800	484
0.641	Moved	1795	485
0.642	Moved	1792	485
0.643	Moved	1787	486
0.644	Moved	1782	486
0.645	Moved	1778	487
0.646	Moved	1773	488
0.647	Moved	1768	488
0.648	Moved	1763	489
0.648	Moved	1759	489
0.65	Moved	1755	489
0.651	Moved	1751	490
0.652	Moved	1746	490
0.653	Moved	1742	491
0.653	Moved	1737	492
0.654	Moved	1733	492
0.655	Moved	1728	493
0.656	Moved	1724	493
0.657	Moved	1721	493
0.658	Moved	1716	494
0.659	Moved	1712	494
0.66	Moved	1707	495
0.662	Moved	1703	495
0.662	Moved	1699	496
0.663	Moved	1694	496
0.664	Moved	1690	497
0.665	Moved	1687	497
0.667	Moved	1683	498
0.667	Moved	1678	498
0.668	Moved	1674	499
0.669	Moved	1670	499
0.67	Moved	1666	500
0.671	Moved	1661	500
0.673	Moved	1657	501
0.673	Moved	1653	501
0.674	Moved	1650	502
0.675	Moved	1646	502
0.676	Moved	1642	503
0.677	Moved	1638	503
0.678	Moved	1634	504
0.679	Moved	1630	504
0.68	Moved	1626	505
0.681	Moved	1622	505
0.682	Moved	1619	506
0.683	Moved	1615	506
0.684	Moved	1611	506
0.685	Moved	1608	507
0.686	Moved	1604	507
0.687	Moved	1600	508
0.688	Moved	1596	508
0.689	Moved	1592	509
0.69	Moved	1589	509
0.691	Moved	1585	510
0.692	Moved	1581	510
0.693	Moved	1578	511
0.694	Moved	1574	511
0.695	Moved	1570	512
0.696	Moved	1566	512
0.697	Moved	1562	513
0.698	Moved	1559	513
0.699	Moved	1556	513
0.7	Moved	1552	514
0.701	Moved	1548	514
0.702	Moved	1545	515
0.703	Moved	1541	515
0.704	Moved	1537	516
0.705	Moved	1534	516
0.706	Moved	1530	517
0.707	Moved	1528	517
0.708	Moved	1524	517
0.709	Moved	1521	518
0.71	Moved	1517	518
0.711	Moved	1514	518
0.712	Moved	1511	519
0.713	Moved	1507	519
0.714	Moved	1504	519
0.715	Moved	1502	519
0.716	Moved	1499	520
0.717	Moved	1495	520
0.718	Moved	1493	520
0.719	Moved	1490	520
0.72	Moved	1487	521
0.721	Moved	1484	521
0.722	Moved	1481	521
0.723	Moved	1478	521
0.724	Moved	1476	521
0.725	Moved	1473	521
0.726	Moved	1471	522
0.727	Moved	1468	522
0.728	Moved	1466	522
0.729	Moved	1463	522
0.73	Moved	1461	522
0.731	Moved	1458	522
0.732	Moved	1457	522
0.733	Moved	1455	522
0.734	Moved	1452	522
0.735	Moved	1450	523
0.736	Moved	1448	523
0.737	Moved	1447	523
0.738	Moved	1445	523
0.739	Moved	1443	523
0.74	Moved	1442	523
0.741	Moved	1440	523
0.742	Moved	1438	523
0.743	Moved	1437	523
0.744	Moved	1435	523
0.745	Moved	1434	523
0.746	Moved	1433	523
0.747	Moved	1431	523
0.748	Moved	1430	523
0.749	Moved	1429	523
0.75	Moved	1428	523
0.751	Moved	1427	523
0.752	Moved	1426	523
0.753	Moved	1425	523
0.754	Moved	1424	523
0.755	Moved	1423	523
0.756	Moved	1422	523
0.757	Moved	1421	523
0.758	Moved	1420	523
0.759	Moved	1419	523
0.76	Moved	1418	523
0.761	Moved	1417	523
0.763	Moved	1416	523
0.764	Moved	1415	522
0.766	Moved	1414	522
0.768	Moved	1413	522
0.769	Moved	1412	522
0.772	Moved	1411	522
0.774	Moved	1410	522
0.776	Moved	1409	522
0.778	Moved	1408	522
0.78	Moved	1407	522
0.782	Moved	1406	521
0.784	Moved	1405	521
0.787	Moved	1404	521
0.789	Moved	1403	521
0.791	Moved	1402	521
0.793	Moved	1401	520
0.795	Moved	1400	520
0.797	Moved	1399	520
0.799	Moved	1398	520
0.8	Moved	1398	519
0.801	Moved	1397	519
0.803	Moved	1396	519
0.804	Moved	1395	519
0.806	Moved	1394	518
0.808	Moved	1393	518
0.809	Moved	1392	518
0.811	Moved	1391	517
0.813	Moved	1390	517
0.815	Moved	1389	517
0.816	Moved	1388	517
0.817	Moved	1388	516
0.818	Moved	1387	516
0.819	Moved	1386	516
0.821	Moved	1385	516
0.822	Moved	1384	516
0.823	Moved	1384	515
0.825	Moved	1383	515
0.826	Moved	1382	515
0.829	Moved	1381	515
0.831	Moved	1380	515
0.834	Moved	1379	515
0.835	Moved	1378	515
0.837	Moved	1378	514
0.842	Moved	1377	514
1.242	Pressed Left	1337	830
1.277	Pressed Left	1330	832
1.309	Key	LShiftKey
1.324	Pressed Left	2394	1225
1.329	Key	LShiftKey
1.345	Pressed Left	2391	1260
1.35	Key	LShiftKey
1.366	Pressed Left	2439	1226
9.658	Pressed Left	1329	828
9.684	Pressed Left	1339	820
9.716	Key	LShiftKey
9.73	Pressed Left	2394	1225
9.735	Key	LShiftKey
9.749	Pressed Left	2391	1260
9.754	Key	LShiftKey
9.769	Pressed Left	2439	1226
16.95	Pressed Left	1247	876
16.978	Pressed Left	1240	876
17.01	Key	LShiftKey
17.025	Pressed Left	2394	1225
17.03	Key	LShiftKey
17.045	Pressed Left	2391	1260
17.05	Key	LShiftKey
17.065	Pressed Left	2439	1226
24.639	Pressed Left	1306	834
24.665	Pressed Left	1317	842
32.276	Pressed Left	1400	785
32.302	Pressed Left	1409	780
32.334	Key	LShiftKey
32.349	Pressed Left	2394	1225
32.354	Key	LShiftKey
32.368	Pressed Left	2391	1260
32.373	Key	LShiftKey
32.388	Pressed Left	2439	1226
40.547	Pressed Left	1340	819
40.573	Pressed Left	1331	830
47.894	Pressed Left	1253	886
47.921	Pressed Left	1252	883
56.248	Pressed Left	1407	784
56.274	Pressed Left	1407	777
56.306	Key	LShiftKey
56.32	Pressed Left	2394	1225
56.325	Key	LShiftKey
56.339	Pressed Left	2391	1260
56.344	Key	LShiftKey
56.359	Pressed Left	2439	1226
63.54	Pressed Left	1478	639
63.566	Pressed Left	1492	634
63.598	Key	LShiftKey
63.612	Pressed Left	2394	1225
63.617	Key	LShiftKey
63.631	Pressed Left	2391	1260
63.636	Key	LShiftKey
63.651	Pressed Left	2439	1226
71.929	Pressed Left	1223	878
71.955	Pressed Left	1226	880
71.987	Key	LShiftKey
72.002	Pressed Left	2394	1225
72.007	Key	LShiftKey
72.022	Pressed Left	2391	1260
72.027	Key	LShiftKey
72.041	Pressed Left	2439	1226
79.118	Pressed Left	1301	846
79.144	Pressed Left	1316	847
87.053	Pressed Left	1217	889
87.079	Pressed Left	1219	903
87.111	Key	LShiftKey
87.127	Pressed Left	2394	1225
87.132	Key	LShiftKey
87.147	Pressed Left	2391	1260
87.152	Key	LShiftKey
87.166	Pressed Left	2439	1226
94.199	Pressed Left	1404	779
94.225	Pressed Left	1412	781
94.257	Key	LShiftKey
94.271	Pressed Left	2394	1225
94.276	Key	LShiftKey
94.29	Pressed Left	2391	1260
94.295	Key	LShiftKey
94.31	Pressed Left	2439	1226
101.757	Pressed Left	1195	794
101.782	Pressed Left	1194	790
101.814	Key	LShiftKey
101.829	Pressed Left	2394	1225
101.834	Key	LShiftKey
101.85	Pressed Left	2391	1260
101.855	Key	LShiftKey
101.87	Pressed Left	2439	1226
109.74	Pressed Left	1316	831
109.766	Pressed Left	1304	834
109.798	Key	LShiftKey
109.813	Pressed Left	2394	1225
109.818	Key	LShiftKey
109.832	Pressed Left	2391	1260
109.837	Key	LShiftKey
109.852	Pressed Left	2439	1226
117.729	Pressed Left	1411	782
117.755	Pressed Left	1413	790
125.79	Pressed Left	1308	972
125.816	Pressed Left	1309	968
125.848	Key	LShiftKey
125.863	Pressed Left	2394	1225
125.868	Key	LShiftKey
125.883	Pressed Left	2391	1260
125.888	Key	LShiftKey
125.903	Pressed Left	2439	1226
133.213	Pressed Left	1323	607
133.239	Pressed Left	1318	615
133.271	Key	LShiftKey
133.285	Pressed Left	2394	1225
