ElapsedTime 	Action 	 X	Y
0.124	Moved	2853	454
0.126	Moved	2852	454
0.128	Moved	2851	454
0.13	Moved	2850	454
0.131	Moved	2849	454
0.132	Moved	2848	454
0.133	Moved	2847	454
0.134	Moved	2846	454
0.135	Moved	2845	454
0.136	Moved	2844	454
0.137	Moved	2843	454
0.138	Moved	2842	454
0.139	Moved	2842	455
0.14	Moved	2840	455
0.141	Moved	2839	455
0.142	Moved	2837	455
0.143	Moved	2835	456
0.144	Moved	2834	456
0.145	Moved	2832	456
0.146	Moved	2830	457
0.147	Moved	2828	457
0.148	Moved	2826	458
0.149	Moved	2824	458
0.15	Moved	2821	459
0.151	Moved	2819	460
0.152	Moved	2817	460
0.153	Moved	2814	461
0.154	Moved	2812	462
0.155	Moved	2809	462
0.156	Moved	2806	463
0.157	Moved	2802	464
0.158	Moved	2799	465
0.159	Moved	2796	466
0.16	Moved	2792	467
0.161	Moved	2789	468
0.162	Moved	2786	469
0.163	Moved	2782	470
0.164	Moved	2778	471
0.165	Moved	2774	472
0.166	Moved	2770	474
0.167	Moved	2766	475
0.168	Moved	2762	476
0.169	Moved	2758	477
0.17	Moved	2754	479
0.171	Moved	2749	480
0.172	Moved	2744	482
0.173	Moved	2739	483
0.174	Moved	2734	485
0.175	Moved	2729	487
0.176	Moved	2724	489
0.177	Moved	2720	490
0.178	Moved	2714	492
0.179	Moved	2708	493
0.18	Moved	2703	495
0.181	Moved	2697	497
0.182	Moved	2691	499
0.183	Moved	2685	501
0.184	Moved	2679	503
0.185	Moved	2675	505
0.186	Moved	2669	507
0.187	Moved	2662	509
0.188	Moved	2656	511
0.189	Moved	2650	513
0.19	Moved	2643	515
0.191	Moved	2636	518
0.192	Moved	2630	520
0.193	Moved	2625	522
0.194	Moved	2618	524
0.195	Moved	2611	527
0.196	Moved	2604	529
0.197	Moved	2597	532
0.198	Moved	2590	534
0.199	Moved	2583	537
0.2	Moved	2576	539
0.201	Moved	2569	542
0.202	Moved	2563	544
0.203	Moved	2556	546
0.204	Moved	2548	549
0.205	Moved	2541	551
0.206	Moved	2534	554
0.207	Moved	2527	556
0.208	Moved	2519	559
0.209	Moved	2512	562
0.21	Moved	2507	564
0.211	Moved	2500	566
0.212	Moved	2492	569
0.213	Moved	2485	571
0.214	Moved	2478	574
0.215	Moved	2471	576
0.216	Moved	2464	579
0.217	Moved	2457	582
0.218	Moved	2451	583
0.219	Moved	2444	586
0.22	Moved	2437	588
0.221	Moved	2430	591
0.222	Moved	2423	593
0.223	Moved	2416	596
0.224	Moved	2410	598
0.225	Moved	2403	601
0.226	Moved	2397	603
0.227	Moved	2392	605
0.228	Moved	2385	608
0.229	Moved	2379	610
0.23	Moved	2373	612
0.231	Moved	2367	614
0.232	Moved	2361	616
0.233	Moved	2356	619
0.234	Moved	2350	620
0.235	Moved	2346	622
0.237	Moved	2341	624
0.237	Moved	2336	626
0.238	Moved	2331	627
0.239	Moved	2327	629
0.24	Moved	2322	631
0.241	Moved	2318	632
0.242	Moved	2314	633
0.243	Moved	2311	634
0.244	Moved	2308	635
0.245	Moved	2304	636
0.246	Moved	2301	637
0.247	Moved	2298	638
0.248	Moved	2296	639
0.249	Moved	2294	640
0.25	Moved	2291	640
0.251	Moved	2290	641
0.252	Moved	2288	641
0.253	Moved	2286	641
0.254	Moved	2285	641
0.255	Moved	2284	641
0.256	Moved	2283	641
0.258	Moved	2282	641
0.262	Moved	2281	641
0.263	Moved	2281	640
0.264	Moved	2282	640
0.265	Moved	2283	640
0.266	Moved	2283	639
0.267	Moved	2284	639
0.268	Moved	2285	639
0.269	Moved	2286	638
0.27	Moved	2287	638
0.271	Moved	2289	637
0.272	Moved	2290	636
0.273	Moved	2290	634
0.274	Moved	2293	634
0.275	Moved	2296	634
0.276	Moved	2297	633
0.277	Moved	2299	632
0.278	Moved	2302	631
0.279	Moved	2303	631
0.28	Moved	2303	639
0.281	Moved	2305	639
0.282	Moved	2305	638
0.288	Moved	2309	638
0.289	Moved	2311	639
0.29	Moved	2313	639
0.408	Moved	2315	639
0.409	Moved	2315	638
0.41	Moved	2314	637
0.411	Moved	2315	637
0.411	Moved	2310	637
0.412	Moved	2311	637
0.413	Moved	2313	638
0.414	Moved	2316	638
0.415	Moved	2319	639
0.416	Moved	2322	640
0.417	Moved	2324	640
0.418	Moved	2326	641
0.419	Moved	2328	642
0.42	Moved	2331	642
0.421	Moved	2333	643
0.422	Moved	2335	643
0.423	Moved	2337	644
0.424	Moved	2338	644
0.425	Moved	2340	644
0.426	Moved	2342	645
0.427	Moved	2343	645
0.428	Moved	2344	645
0.429	Moved	2345	646
