ElapsedTime,Action,X,Y
1.713,Moved,2834,448
1.717,Moved,2833,448
1.718,Moved,2833,447
1.72,Moved,2832,447
1.722,Moved,2831,447
1.723,Moved,2830,446
1.725,Moved,2829,446
1.726,Moved,2828,446
1.727,Moved,2828,445
1.728,Moved,2827,445
1.729,Moved,2826,445
1.73,Moved,2825,444
1.731,Moved,2824,444
1.732,Moved,2823,443
1.733,Moved,2822,443
1.734,Moved,2821,443
1.735,Moved,2820,442
1.736,Moved,2819,442
1.737,Moved,2817,441
1.738,Moved,2815,441
1.739,Moved,2814,440
1.74,Moved,2812,440
1.741,Moved,2810,439
1.742,Moved,2809,439
1.743,Moved,2806,438
1.745,Moved,2804,437
1.746,Moved,2802,436
1.747,Moved,2799,436
1.748,Moved,2797,435
1.749,Moved,2794,434
1.75,Moved,2791,433
1.751,Moved,2789,433
1.752,Moved,2786,432
1.753,Moved,2782,431
1.754,Moved,2779,430
1.755,Moved,2776,429
1.756,Moved,2772,428
1.757,Moved,2768,427
1.758,Moved,2764,426
1.759,Moved,2760,425
1.76,Moved,2756,424
1.761,Moved,2752,423
1.762,Moved,2748,422
1.763,Moved,2743,421
1.764,Moved,2738,420
1.765,Moved,2733,419
1.766,Moved,2727,418
1.767,Moved,2722,417
1.768,Moved,2716,416
1.769,Moved,2710,414
1.77,Moved,2705,413
1.771,Moved,2699,412
1.772,Moved,2693,411
1.773,Moved,2686,410
1.774,Moved,2679,409
1.775,Moved,2672,407
1.776,Moved,2665,406
1.777,Moved,2658,405
1.778,Moved,2650,404
1.779,Moved,2644,403
1.78,Moved,2636,402
1.781,Moved,2628,401
1.782,Moved,2620,400
1.783,Moved,2611,399
1.784,Moved,2603,398
1.785,Moved,2593,396
1.786,Moved,2584,395
1.787,Moved,2575,394
1.788,Moved,2568,393
1.789,Moved,2558,392
1.79,Moved,2548,391
1.791,Moved,2538,390
1.792,Moved,2528,389
1.793,Moved,2518,387
1.794,Moved,2507,386
1.795,Moved,2497,385
1.796,Moved,2486,384
1.797,Moved,2475,382
1.798,Moved,2467,381
1.799,Moved,2457,380
1.8,Moved,2446,378
1.801,Moved,2435,377
1.802,Moved,2424,376
1.803,Moved,2413,374
1.804,Moved,2402,372
1.805,Moved,2391,371
1.806,Moved,2380,369
1.807,Moved,2371,368
1.808,Moved,2360,366
1.809,Moved,2349,364
1.81,Moved,2337,363
1.811,Moved,2326,361
1.812,Moved,2314,359
1.813,Moved,2302,357
1.814,Moved,2290,356
1.815,Moved,2278,354
1.816,Moved,2270,353
1.817,Moved,2258,351
1.818,Moved,2246,349
1.819,Moved,2234,347
1.82,Moved,2222,345
1.821,Moved,2210,343
1.822,Moved,2197,342
1.823,Moved,2185,340
1.824,Moved,2173,338
1.825,Moved,2163,337
1.826,Moved,2151,335
1.827,Moved,2139,333
1.828,Moved,2127,331
1.829,Moved,2114,329
1.83,Moved,2102,327
1.831,Moved,2090,325
1.832,Moved,2077,324
1.833,Moved,2065,322
1.834,Moved,2056,320
1.835,Moved,2044,318
1.836,Moved,2031,317
1.837,Moved,2019,315
1.838,Moved,2007,313
1.839,Moved,1995,311
1.84,Moved,1982,309
1.841,Moved,1970,307
1.842,Moved,1958,306
1.843,Moved,1946,304
1.844,Moved,1937,303
1.845,Moved,1925,301
1.846,Moved,1913,299
1.847,Moved,1901,297
1.848,Moved,1889,295
1.849,Moved,1878,294
1.85,Moved,1866,292
1.851,Moved,1854,290
1.852,Moved,1843,289
1.853,Moved,1834,287
1.854,Moved,1823,286
1.855,Moved,1812,284
1.856,Moved,1800,283
1.857,Moved,1789,281
1.858,Moved,1778,280
1.859,Moved,1767,278
1.86,Moved,1757,277
1.861,Moved,1746,275
1.862,Moved,1738,274
1.863,Moved,1727,273
1.864,Moved,1717,271
1.865,Moved,1707,270
1.866,Moved,1697,268
1.867,Moved,1687,267
1.868,Moved,1677,265
1.869,Moved,1668,264
1.87,Moved,1658,263
1.871,Moved,1651,262
1.872,Moved,1642,260
1.873,Moved,1633,259
1.874,Moved,1625,258
1.875,Moved,1616,256
1.876,Moved,1608,255
1.877,Moved,1600,254
1.878,Moved,1592,253
1.879,Moved,1584,251
1.88,Moved,1576,250
1.881,Moved,1570,249
1.882,Moved,1563,248
1.883,Moved,1556,247
1.884,Moved,1549,246
1.885,Moved,1543,244
1.886,Moved,1536,243
1.887,Moved,1530,242
1.888,Moved,1524,241
1.889,Moved,1519,240
1.89,Moved,1515,239
1.891,Moved,1510,238
1.892,Moved,1505,237
1.893,Moved,1501,236
1.894,Moved,1497,235
1.895,Moved,1493,234
1.896,Moved,1489,233
1.897,Moved,1486,232
1.898,Moved,1483,231
1.899,Moved,1481,230
1.9,Moved,1479,229
1.901,Moved,1476,228
1.902,Moved,1474,227
1.903,Moved,1473,226
1.904,Moved,1472,225
1.905,Moved,1471,224
1.906,Moved,1470,223
1.907,Moved,1470,222
1.908,Moved,1469,221
1.909,Moved,1469,220
1.91,Moved,1469,219
1.911,Moved,1469,218
1.912,Moved,1470,217
1.913,Moved,1471,217
1.914,Moved,1471,216
1.915,Moved,1472,216
1.916,Moved,1473,216
1.917,Moved,1474,215
1.918,Moved,1475,215
1.919,Moved,1477,214
1.92,Moved,1479,214
1.921,Moved,1481,213
1.922,Moved,1483,212
1.923,Moved,1485,211
1.924,Moved,1488,211
1.925,Moved,1490,211
1.926,Moved,1492,209
1.927,Moved,1496,209
1.928,Moved,1499,209
1.929,Moved,1501,209
1.93,Moved,1504,209
2.162,Moved,1504,208
2.166,Moved,1505,208
2.167,Moved,1504,208
2.169,Moved,1504,207
2.17,Moved,1505,207
2.171,Moved,1508,203
2.172,Moved,1501,205
2.183,Moved,1499,205
2.184,Moved,1503,207
2.185,Moved,1499,207
2.186,Moved,1495,205
2.187,Moved,1492,205
2.188,Moved,1488,204
2.189,Moved,1481,203
2.19,Moved,1476,202
2.191,Moved,1470,201
2.192,Moved,1464,200
2.193,Moved,1458,199
2.194,Moved,1453,199
2.195,Moved,1447,198
2.196,Moved,1443,198
2.197,Moved,1437,197
2.198,Moved,1430,196
2.199,Moved,1424,195
2.2,Moved,1417,194
2.201,Moved,1411,193
2.202,Moved,1405,192
2.203,Moved,1399,191
2.204,Moved,1392,190
2.205,Moved,1386,190
2.206,Moved,1379,189
2.207,Moved,1374,188
2.208,Moved,1367,187
2.209,Moved,1360,186
2.21,Moved,1354,186
2.211,Moved,1347,185
2.212,Moved,1340,184
2.213,Moved,1334,184
2.214,Moved,1327,183
2.215,Moved,1322,182
2.216,Moved,1315,181
2.217,Moved,1308,180
2.218,Moved,1301,180
2.219,Moved,1293,179
2.22,Moved,1285,178
2.221,Moved,1279,177
2.222,Moved,1271,176
2.223,Moved,1264,176
2.224,Moved,1256,175
2.225,Moved,1248,174
2.226,Moved,1241,173
2.227,Moved,1232,172
2.228,Moved,1224,171
2.229,Moved,1217,170
2.23,Moved,1209,169
2.231,Moved,1201,168
2.232,Moved,1194,167
2.233,Moved,1186,166
2.234,Moved,1179,165
2.235,Moved,1171,163
2.236,Moved,1162,162
2.237,Moved,1156,161
2.238,Moved,1148,160
2.239,Moved,1139,159
2.24,Moved,1133,158
2.241,Moved,1125,157
2.242,Moved,1118,156
2.243,Moved,1110,154
2.244,Moved,1102,153
2.245,Moved,1095,152
2.246,Moved,1087,151
2.247,Moved,1079,150
2.248,Moved,1072,149
2.249,Moved,1064,148
2.25,Moved,1055,147
2.251,Moved,1049,146
2.252,Moved,1040,145
2.253,Moved,1034,144
2.254,Moved,1025,143
