ElapsedTime,Action,X,Y
0.03,Moved,2824,440
0.034,Moved,2823,440
0.035,Moved,2822,440
0.037,Moved,2822,439
0.039,Moved,2821,439
0.041,Moved,2820,439
0.042,Moved,2819,439
0.043,Moved,2818,439
0.044,Moved,2818,438
0.045,Moved,2817,438
0.046,Moved,2816,438
0.048,Moved,2815,438
0.049,Moved,2814,438
0.05,Moved,2813,438
0.051,Moved,2812,438
0.052,Moved,2811,438
0.053,Moved,2810,438
0.054,Moved,2809,438
0.055,Moved,2808,438
0.056,Moved,2807,438
0.057,Moved,2806,438
0.058,Moved,2805,438
0.059,Moved,2804,438
0.06,Moved,2803,438
0.061,Moved,2802,438
0.062,Moved,2801,438
0.063,Moved,2799,438
0.064,Moved,2797,438
0.065,Moved,2796,438
0.066,Moved,2794,438
0.067,Moved,2792,438
0.068,Moved,2791,438
0.069,Moved,2789,439
0.07,Moved,2787,439
0.071,Moved,2785,439
0.072,Moved,2783,439
0.073,Moved,2781,440
0.074,Moved,2779,440
0.075,Moved,2777,440
0.076,Moved,2774,441
0.077,Moved,2772,441
0.078,Moved,2770,442
0.079,Moved,2767,442
0.08,Moved,2765,443
0.081,Moved,2762,443
0.082,Moved,2759,444
0.083,Moved,2757,444
0.084,Moved,2754,445
0.085,Moved,2751,445
0.086,Moved,2749,446
0.087,Moved,2745,446
0.088,Moved,2742,447
0.089,Moved,2739,448
0.09,Moved,2736,448
0.091,Moved,2732,449
0.092,Moved,2729,450
0.093,Moved,2725,451
0.094,Moved,2722,451
0.095,Moved,2718,452
0.096,Moved,2714,453
0.097,Moved,2710,454
0.098,Moved,2706,455
0.099,Moved,2702,455
0.1,Moved,2698,456
0.101,Moved,2694,457
0.102,Moved,2690,458
0.103,Moved,2686,459
0.104,Moved,2681,459
0.105,Moved,2677,460
0.106,Moved,2672,461
0.107,Moved,2667,462
0.108,Moved,2663,463
0.109,Moved,2658,464
0.11,Moved,2654,465
0.111,Moved,2649,466
0.112,Moved,2644,467
0.113,Moved,2639,467
0.114,Moved,2634,468
0.115,Moved,2629,469
0.116,Moved,2624,470
0.117,Moved,2618,471
0.118,Moved,2615,472
0.119,Moved,2609,473
0.12,Moved,2604,474
0.121,Moved,2598,475
0.122,Moved,2592,476
0.123,Moved,2587,476
0.124,Moved,2581,477
0.125,Moved,2575,478
0.126,Moved,2571,479
0.127,Moved,2565,480
0.128,Moved,2559,481
0.129,Moved,2553,482
0.13,Moved,2547,483
0.131,Moved,2541,483
0.132,Moved,2535,484
0.133,Moved,2529,485
0.134,Moved,2523,486
0.135,Moved,2518,487
0.136,Moved,2512,488
0.137,Moved,2505,489
0.138,Moved,2498,490
0.139,Moved,2492,491
0.14,Moved,2485,492
0.141,Moved,2478,492
0.142,Moved,2472,493
0.143,Moved,2466,494
0.144,Moved,2460,495
0.145,Moved,2453,496
0.146,Moved,2446,496
0.147,Moved,2439,497
0.148,Moved,2432,498
0.149,Moved,2425,499
0.15,Moved,2418,499
0.151,Moved,2413,500
0.152,Moved,2405,501
0.153,Moved,2398,501
0.154,Moved,2391,502
0.155,Moved,2384,503
0.156,Moved,2376,504
0.157,Moved,2369,504
0.158,Moved,2362,505
0.159,Moved,2356,505
0.16,Moved,2348,506
0.161,Moved,2341,507
0.162,Moved,2333,507
0.163,Moved,2326,508
0.164,Moved,2318,508
0.165,Moved,2311,509
0.166,Moved,2303,509
0.167,Moved,2297,510
0.168,Moved,2289,510
0.169,Moved,2282,510
0.17,Moved,2274,511
0.171,Moved,2266,511
0.172,Moved,2258,511
